ID;Nombre;Precio

125;Sillas;10650
178;Mesas;34950
231;Bancos;59250
284;Taladro;83550
337;Guantes;107850
390;Tornillos;132150
443;Clavos;156450
496;Prensa;180750
549;Alicates;205050
602;Navaja;229350
655;Martillo;253650
708;Carretilla;277950
761;Termo;302250
814;Aislante;326550
867;Pintura;350850
920;Secante;375150
973;Disolvente;399450
1026;Tiner;423750
1079;Lijas;448050
1132;Bateria;472350
1185;Plastico;496650
1238;Tuercas;520950
1291;Soldadora;545250
1344;Lubricante;569550
1397;Tubo;593850
1450;Barilla;618150
1503;Cemento;642450
1556;Grava;666750
1609;Arena;691050
1662;Brocha;715350
1715;Rodillo;739650
1768;Pala;763950
1821;Cincel;788250
1874;Cobador;812550
